model_name,url
Samsung Galaxy A07,https://www.startech.com.bd/samsung-galaxy-a07
Samsung Galaxy A06,https://www.startech.com.bd/samsung-galaxy-a06
Samsung Galaxy A16 5G,https://www.startech.com.bd/samsung-galaxy-a16-5g
Samsung Galaxy A17 5G,https://www.startech.com.bd/samsung-galaxy-a17-5g
Samsung Galaxy A26 5G,https://www.startech.com.bd/samsung-galaxy-a26
Samsung Galaxy A36 5G,https://www.startech.com.bd/samsung-galaxy-a36
Samsung Galaxy A56 5G,https://www.startech.com.bd/samsung-galaxy-a56
Samsung Galaxy A35 5G,https://www.startech.com.bd/samsung-galaxy-a35-5g
Samsung Galaxy Z Flip7,https://www.startech.com.bd/samsung-galaxy-z-flip7
Samsung Galaxy S25 FE,https://www.startech.com.bd/samsung-galaxy-s25-fe
Samsung Galaxy S25 Edge,https://www.startech.com.bd/samsung-galaxy-s25-edge
Samsung Galaxy Z Fold7,https://www.startech.com.bd/samsung-galaxy-z-fold7
Samsung Galaxy S25,https://www.startech.com.bd/samsung-galaxy-s25
Samsung Galaxy S25 Ultra,https://www.startech.com.bd/samsung-galaxy-s25-ultra
Samsung Galaxy M14 4G,https://www.startech.com.bd/samsung-galaxy-m14
Samsung Galaxy M14 5G (6/128GB),https://www.startech.com.bd/samsung-galaxy-m14-5g
Samsung Galaxy A55 5G (8/128GB),https://www.startech.com.bd/samsung-galaxy-a55-5g-smartphone
Samsung Galaxy S24 FE,https://www.startech.com.bd/samsung-galaxy-s24-fe
Samsung Galaxy S25 Plus,https://www.startech.com.bd/samsung-galaxy-s25-plus
Samsung Galaxy Z Flip6,https://www.startech.com.bd/samsung-galaxy-z-flip6
